underlying_code;source_kind;short_name;isin;short_sale_ban;short_sale_limit;collateral_accepted;collateral_pool_limit_pct;collateral_limit_pct
AED;currency_metal;AED;;;0;False;;100
AMD;currency_metal;AMD;;;0;False;;100
AZN;currency_metal;AZN;;;0;False;;100
BYN;currency_metal;BYN;;;0;False;;100
CHF;currency_metal;CHF;;;0;False;;100
CNY;currency_metal;CNY;;;0;True;;100
EUR;currency_metal;EUR;;;0;False;;100
GBP;currency_metal;GBP;;;0;False;;100
GLD;currency_metal;GLD;;;0;True;;100
HKD;currency_metal;HKD;;;0;False;;100
JPY;currency_metal;JPY;;;0;False;;100
KGS;currency_metal;KGS;;;0;False;;100
KZT;currency_metal;KZT;;;-46858560;False;;100
PLD;currency_metal;PLD;;;-1300;True;;100
PLT;currency_metal;PLT;;;-1400;True;;100
RUB;currency_metal;RUB;;;0;True;;100
SLV;currency_metal;SLV;;;0;True;;100
TJS;currency_metal;TJS;;;0;False;;100
TRY;currency_metal;TRY;;;0;False;;100
UAH;currency_metal;UAH;;;0;False;;100
USD;currency_metal;USD;;;0;False;;100
UZS;currency_metal;UZS;;;0;False;;100
XAU;currency_metal;XAU;;;0;False;;100
ZAR;currency_metal;ZAR;;;0;False;;100
