parameter;title;unit;short_description;how_to_read;source_note
MR1;Ставка риска 1-го уровня;доля / %;Минимальный ограничительный уровень ставки обеспечения первого уровня.;Применяется к объёму позиции в пределах первого лимита концентрации.;Методика и страница НКЦ «Риск-параметры»
MR2;Ставка риска 2-го уровня;доля / %;Минимальный ограничительный уровень ставки обеспечения второго уровня.;Применяется к части позиции сверх LK1 и до LK2.;Страница НКЦ «Риск-параметры»
MR3;Ставка риска 3-го уровня;доля / %;Минимальный ограничительный уровень ставки обеспечения третьего уровня.;Применяется к части позиции сверх LK2.;Страница НКЦ «Риск-параметры»
LK1;Лимит концентрации 1-го уровня;единицы базисного актива;Первый лимит концентрации, устанавливаемый для базисного актива.;Граница перехода от ставки MR1 к MR2 для превышающей части позиции.;Методика, часть 4
LK2;Лимит концентрации 2-го уровня;единицы базисного актива;Второй лимит концентрации, устанавливаемый для базисного актива.;Граница перехода от ставки MR2 к MR3 для превышающей части позиции.;Методика, часть 4
INITIALMARGIN;Гарантийное обеспечение одного контракта;рубли на контракт;Текущее биржевое ГО одного выбранного фьючерсного контракта на первом уровне концентрации.;Для простой позиции в пределах LK1 умножается на количество контрактов.;MOEX ISS, поле INITIALMARGIN
AutoShiftNumMR;Общий лимит раздвижек;количество;Максимальное количество изменений границ ценового коридора в основную и вечернюю дополнительную сессии.;Это общий лимит. Отдельного фиксированного лимита только для основной сессии Методика не задаёт.;Методика, приложение 1 и раздел вечернего мониторинга
AutoShiftNumMREvg;Лимит вечерних раздвижек;количество;Максимальное количество изменений границ ценового коридора в вечернюю дополнительную сессию.;Фактический вечерний предел дополнительно ограничен остатком общего AutoShiftNumMR.;Официальный XLSX НКЦ «Статические параметры, применяемые в вечернюю сессию»
FutMonTimeEvg;Время мониторинга вечером;секунды;Время контроля достаточности верхней/нижней границы ценового коридора в вечернюю дополнительную торговую сессию.;Показывает, сколько времени условие должно сохраняться в вечерней сессии перед изменением границы.;Официальный XLSX НКЦ «Статические параметры, применяемые в вечернюю сессию»
OffDaysTradingPriceRangeShift;Выходное ограничение ценового коридора;доля от цены 23:50;Параметр симметричного ограничения границ при торгах в выходные дни.;Границы строятся как цена 23:50 ± параметр × модуль цены. Полная относительная ширина равна удвоенному параметру.;Методика, часть 3, п. 2.7
