assetcode;title;offdaystradingpricerangeshift;offdaystradingrangecs
1MFR;Фьючерсный контракт на ставку RUSFAR;0.0075;1.8
AED;на курс дирхам ОАЭ – российский рубль;0.03;1.8
AFKS;Фьючерсный контракт на обыкновенные акции ПАО «АФК «Система»;0.03;1.8
AFLT;"Фьючерсный контракт на  обыкновенные акции ПАО ""Аэрофлот""";0.03;1.8
AFRICA;Фьючерсный контракт на акции инвестиционного фонда MSCI South Africa ETF;0.03;1.8
AI92;Фьючерсный контракт на бензин АИ-92;0.03;1.8
AI95;Фьючерсный контракт на бензин АИ-95;0.03;1.8
ALIBABA;Фьючерсный контракт на АДР на акции Алибаба Груп Холдинг Лимитед;0.03;1.8
ALRS;"Фьючерсный контракт на обыкновенные акции АК ""АЛРОСА"" (ПАО)";0.03;1.8
ALUM;Фьючерсный контракт на алюминий;0.03;1.8
AMD;на курс армянский драм – российский рубль;0.03;1.8
ARGT;Фьючерсный контракт на акции инвестиционного фонда MSCI Argentina ETF;0.03;1.8
ASML;Фьючерсный контракт на расч. значение равное 0,1 стоимости ДР на акции ASML;0.07;1.8
ASTR;Фьючерсный контракт на обыкновенные акции ПАО Группа Астра;0.03;1.8
AUDU;на курс австралийский доллар – доллар США;0.03;1.8
BAIDU;Фьючерсный контракт на АДР на акции Байду Инк.;0.03;1.8
BANE;"Фьючерсный контракт на обыкновенные акции ПАО АНК ""Башнефть""";0.03;1.8
BELUGA;"Фьючерсный контракт на обыкновенные акции ПАО ""НоваБев Групп""";0.03;1.8
BR;Фьючерсный контракт на нефть Брэнт;1.0;1.8
BRAZIL;Фьючерсный контракт на акции инвестиционного фонда MSCI Brazil ETF;0.03;1.8
BRM;Фьючерсный контракт на нефть Брэнт (мини);1.0;1.8
BSPB;"Фьючерсный контракт на обыкновенные акции ПАО ""Банк ""Санкт-Петербург""";0.03;1.8
BTC;Фьючерсный контракт на Индекс МосБиржи Биткоина;0.125;1.8
BYN;на курс белорусский рубль - российский рубль;0.03;1.8
CBOM;"Фьючерсный контракт на обыкновенные акции ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК""";0.03;1.8
CHINA;Фьючерсный контракт на акции инвестиционного фонда MSCI China ETF;0.03;1.8
CHMF;"Фьючерсный контракт на обыкновенные акции ПАО ""Северсталь""";0.03;1.8
CHMFM;Фьючерсный контракт на обыкновенные акции ПАО «Северсталь» (мини);0.03;1.8
CNI;Фьючерсный контракт на Индекс Потребительского сектора;0.03;1.8
CNY;на курс китайский юань – российский рубль;0.03;1.8
CNYRUBTOM;на курс китайский юань - российский рубль;0.03;1.8
COCOA;Фьючерсный контракт на какао;0.05;2.1
COFFEE;Фьючерсный контракт на кофе;0.03;1.8
COPPER;Фьючерсный контракт на медь;1.0;1.8
DAX;Фьючерсный контракт на инвестиционные паи Дакс ETF;0.04;1.8
DIAS;"Фьючерсный контракт на обыкновенные акции ПАО ""Диасофт""";0.03;1.8
DJ30;Фьючерсный контракт на инвестиционные паи DJ Industrial Average ETF Trust;0.03;1.8
DOMRF;Фьючерсный контракт на обыкновенные акции ПАО ДОМ.РФ;0.03;1.8
DTL;Фьючерсный контракт на дизель летний;0.03;1.8
ECAD;на курс евро-канадский доллар;0.03;1.8
ED;на курс евро-доллар США;0.03;1.8
EGBP;на курс евро– фунт стерлингов;0.03;1.8
EJPY;на курс евро-японская йена;0.03;1.8
EM;Фьючерсный контракт на акции инв. фонда iShares MSCI Emerging Markets ETF;0.03;1.8
ENPG;Фьючерсный контракт на обыкновенные акции МКПАО ЭН+ ГРУП ао;0.03;1.8
ETH;Фьючерсный контракт на Индекс МосБиржи Эфириума;0.175;1.8
ETHA;Фьючерсный контракт на акции инвестиционного фонда ETHA Trust ETF;0.175;1.8
Eu;на курс евро-российский рубль;0.03;1.8
EURM;на курс евро – российский рубль мини;0.03;1.8
EURRUBTOM;на курс евро - российский рубль;0.03;1.8
